lake_id,lake,regulation_name,confirmed_by,note
wb6525,Burstall Lake (Lower),Burstall Lakes,repo owner,the guide lists the pair as one entry
wb4167,Burstall Lake (Upper),Burstall Lakes,repo owner,the guide lists the pair as one entry
wb6684,Montagneuse (Stony) Lake,Montaganeusse Lake (Stoney Lake),repo owner,the guide spells it differently
wb6790,Heritage Pond,Hermitage Park Pond,repo owner,confirmed the same water despite the different name
wb6726,Open Creek Reservoir,Open Ck Reservoir,repo owner,the guide abbreviates Creek
